Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Training Stress Score®,Medelkraft,Maxkraft,Intensitet,Flöde,Totalt antal årtag,Medel-Swolf,Medelårtagstempo,Totalt antal repetitioner,Dyktid,Minsta temperatur,Ytintervall,Dekompression,Bästa varvtid,Antal varv,Maximal temperatur,Genomsnittlig andning,Minsta andningshastighet,Maximal andningshastighet,Stressändring,Start för stress,Slut för stress,Medestress,Maxbelastning,Färdtid,Total tid,Min. höjd,Max. höjd
Inomhuscykling,2024-02-01 16:55:05,false,"Inomhuscykling","35.00","648","00:58:58","141","172","--","--","35.6","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","58:58.23","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:58:58","--","--"
Simbassäng,2024-01-31 17:39:46,false,"Simbassäng","2,025","384","00:50:12","121","145","--","--","2:10","1:11","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","1068","46","24","0","0:00","0.0","0:00","Nej","00:06.99","38","0.0","--","--","--","--","--","--","--","--","00:43:46","00:50:54","--","--"
Styrketräning,2024-01-30 17:30:37,false,"Gym","0.00","264","00:39:11","114","137","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","39:11.44","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:39:11","--","--"
Inomhuscykling,2024-01-30 16:27:02,false,"Inomhuscykling","33.00","626","00:57:18","140","168","--","--","34.6","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","57:18.29","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:57:18","--","--"
Längdskidåkning klassisk stil,2024-01-29 18:07:06,false,"Rullskidor","23.94","847","01:55:44","117","153","61","192","12.4","20.8","112","113","3.53","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","17:58.88","5","0.0","--","--","--","--","--","--","--","--","01:55:05","02:04:56","22","105"
Styrketräning,2024-01-28 11:20:29,false,"Gym","0.00","565","01:24:55","121","166","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:24:54.78","1","0.0","--","--","--","--","--","--","--","--","00:00:00","01:24:55","--","--"
Inomhuscykling,2024-01-27 10:25:44,false,"Inomhuscykling","47.00","809","01:30:47","134","173","--","--","31.1","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:30:46.65","1","0.0","--","--","--","--","--","--","--","--","00:00:00","01:30:47","--","--"
Konditionspass,2024-01-26 17:00:16,false,"CardioCross ","0.00","512","00:55:01","132","165","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","55:01.36","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:55:01","--","--"
Löpning,2024-01-25 18:03:49,false,"Lund Löpning","8.25","519","00:49:03","134","169","157","194","5:57","3:07","50","50","1.06","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:11.39","10","0.0","--","--","--","--","--","--","--","--","00:45:19","01:00:18","41","85"
Längdskidåkning fristil,2024-01-24 17:10:19,false,"Rullskidor","30.32","1,382","02:50:29","135","155","75","188","10.7","28.8","146","150","2.39","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","00:52.00","8","0.0","--","--","--","--","--","--","--","--","02:47:03","03:02:43","33","79"
Styrketräning,2024-01-23 17:54:50,false,"Gym","0.00","357","00:50:39","117","144","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","50:38.82","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:50:39","--","--"
Inomhuscykling,2024-01-23 16:22:16,false,"Inomhuscykling","33.30","603","01:00:06","134","167","--","--","33.2","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:00:05.100","1","0.0","--","--","--","--","--","--","--","--","00:00:00","01:00:06","--","--"
Konditionspass,2024-01-22 18:15:13,false,"CardioCross","0.00","540","00:56:48","134","171","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","56:48.41","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:56:48","--","--"
Konditionspass,2024-01-22 17:39:31,false,"SkiErg","0.00","227","00:20:50","135","152","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","20:50.08","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:20:50","--","--"
Inomhuscykling,2024-01-21 16:40:29,false,"Inomhuscykling","30.00","553","01:00:36","129","163","--","--","29.7","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:00:35.70","1","0.0","--","--","--","--","--","--","--","--","00:00:00","01:00:36","--","--"
Styrketräning,2024-01-20 12:28:09,false,"Gym","0.00","450","01:10:14","115","150","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:10:14.16","1","0.0","--","--","--","--","--","--","--","--","00:00:00","01:10:14","--","--"
Konditionspass,2024-01-19 17:00:34,false,"CardioCross ","0.00","523","00:56:01","133","173","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","56:01.38","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:56:01","--","--"
Simbassäng,2024-01-18 17:38:27,false,"Simbassäng","2,025","379","00:49:13","123","145","--","--","2:16","0:56","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","1069","47","23","0","0:00","0.0","0:00","Nej","00:10.25","23","0.0","--","--","--","--","--","--","--","--","00:45:44","00:55:44","--","--"
Inomhuscykling,2024-01-17 18:24:25,false,"Inomhuscykling","35.50","638","01:00:18","137","169","--","--","35.3","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:00:17.92","1","0.0","--","--","--","--","--","--","--","--","00:00:00","01:00:18","--","--"
Styrketräning,2024-01-16 17:49:22,false,"Gym","0.00","370","00:57:13","114","137","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","57:13.37","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:57:13","--","--"
Konditionspass,2024-01-16 17:13:14,false,"SkiErg","0.00","333","00:29:44","138","158","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","29:44.37","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:29:44","--","--"
Konditionspass,2024-01-15 18:15:16,false,"CardioCross ","0.00","470","00:55:35","129","158","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","55:34.99","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:55:35","--","--"
Styrketräning,2024-01-14 11:32:09,false,"Gym","0.00","494","01:16:39","116","142","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","01:16:39.44","1","0.0","--","--","--","--","--","--","--","--","00:00:00","01:16:39","--","--"
Löpning,2024-01-13 10:55:05,false,"Lund Löpning","17.11","1,058","01:35:01","134","154","169","228","5:33","3:49","100","97","1.07","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","00:25.94","18","0.0","--","--","--","--","--","--","--","--","01:34:54","01:35:01","32","84"
Inomhuscykling,2024-01-12 09:59:38,false,"Inomhuscykling","80.02","987","03:03:07","108","155","--","--","26.2","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","03:03:07.29","1","0.0","--","--","--","--","--","--","--","--","00:00:00","03:03:07","--","--"
Styrketräning,2024-01-11 15:20:00,false,"Gym","0.00","316","00:58:20","0","0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","00:00.00","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:00:00","--","--"
Löpband,2024-01-11 10:18:52,false,"Löpband","18.13","922","01:40:12","138","168","155","249","5:32","2:59","--","--","1.16","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","00:45.63","19","0.0","--","--","--","--","--","--","--","--","01:38:06","01:40:12","--","--"
Simbassäng,2024-01-10 17:10:21,false,"Simbassäng","2,025","388","00:53:44","126","150","--","--","2:12","1:13","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","1062","46","24","0","0:00","0.0","0:00","Nej","00:09.00","37","0.0","--","--","--","--","--","--","--","--","00:44:29","00:55:03","--","--"
Styrketräning,2024-01-10 14:03:17,false,"Bål och stretching","0.00","246","00:47:44","101","132","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Nej","47:44.15","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:47:44","--","--"
